Date,CPU Utilization,CPU Power
2023-10-27 11:15:18,0.10286,16.24071
2023-10-27 11:15:19,0.14974,18.17340
2023-10-27 11:15:20,0.45313,38.69522
2023-10-27 11:15:21,0.51302,43.29214
2023-10-27 11:15:22,0.51693,38.44669
2023-10-27 11:15:23,0.51302,43.75751
2023-10-27 11:15:24,0.38574,43.36974
2023-10-27 11:15:25,0.51302,43.19685
2023-10-27 11:15:26,0.51432,43.29980
2023-10-27 11:15:27,0.51302,41.22932
2023-10-27 11:15:28,0.51432,43.91627
2023-10-27 11:15:29,0.51432,44.31500
2023-10-27 11:15:30,0.51302,42.05398
2023-10-27 11:15:31,0.51693,41.36103
2023-10-27 11:15:32,0.38477,41.18289
2023-10-27 11:15:33,0.51432,39.61139
2023-10-27 11:15:34,0.51302,44.47104
2023-10-27 11:15:35,0.51432,43.05209
2023-10-27 11:15:36,0.51302,44.14772
2023-10-27 11:15:37,0.51432,43.82730
2023-10-27 11:15:38,0.51432,42.66079
2023-10-27 11:15:39,0.51172,44.65410
2023-10-27 11:15:40,0.38574,43.82851
2023-10-27 11:15:41,0.51563,42.99071
2023-10-27 11:15:42,0.51432,41.95901
2023-10-27 11:15:43,0.51432,40.37467
2023-10-27 11:15:44,0.51302,43.65804
2023-10-27 11:15:45,0.51432,41.65871
2023-10-27 11:15:46,0.51302,42.27517
2023-10-27 11:15:47,0.51302,42.78327
2023-10-27 11:15:48,0.51432,42.50542
2023-10-27 11:15:49,0.38574,43.23479
2023-10-27 11:15:50,0.51302,43.53756
2023-10-27 11:15:51,0.51302,44.09510
2023-10-27 11:15:52,0.51432,43.27401
2023-10-27 11:15:53,0.51693,40.57509
2023-10-27 11:15:54,0.51432,40.57209
2023-10-27 11:15:55,0.51432,41.99141
2023-10-27 11:15:56,0.45703,40.34205
2023-10-27 11:15:57,0.15137,22.37226
2023-10-27 11:15:58,0.09896,14.56985
2023-10-27 11:15:59,0.05208,7.19808
2023-10-27 11:16:00,0.08984,13.26865
2023-10-27 11:16:01,0.43490,36.96918
2023-10-27 11:16:02,0.51172,39.93021
2023-10-27 11:16:03,0.51172,41.83107
2023-10-27 11:16:04,0.51432,41.52949
2023-10-27 11:16:05,0.51172,39.94866
2023-10-27 11:16:06,0.38477,43.04712
2023-10-27 11:16:07,0.51172,41.77496
2023-10-27 11:16:08,0.51172,40.41684
2023-10-27 11:16:09,0.51302,42.51169
