Date,CPU Utilization,CPU Power
2023-10-21 14:51:13,0.11068,16.36137
2023-10-21 14:51:14,0.18880,21.74349
2023-10-21 14:51:15,0.51563,42.42588
2023-10-21 14:51:16,0.44420,42.75968
2023-10-21 14:51:17,0.51432,38.42453
2023-10-21 14:51:18,0.51953,38.95167
2023-10-21 14:51:19,0.51563,44.27148
2023-10-21 14:51:20,0.51823,43.19645
2023-10-21 14:51:21,0.44196,42.33904
2023-10-21 14:51:22,0.51693,42.47758
2023-10-21 14:51:23,0.51563,43.19455
2023-10-21 14:51:24,0.51693,43.70489
2023-10-21 14:51:25,0.44196,41.94397
2023-10-21 14:51:26,0.51693,43.30693
2023-10-21 14:51:27,0.51563,43.55807
2023-10-21 14:51:28,0.51693,40.15956
2023-10-21 14:51:29,0.44308,41.08606
2023-10-21 14:51:30,0.51693,41.57019
2023-10-21 14:51:31,0.51693,41.59876
2023-10-21 14:51:32,0.51693,42.41543
2023-10-21 14:51:33,0.51563,42.88175
2023-10-21 14:51:34,0.17411,23.63186
2023-10-21 14:51:35,0.19792,21.87696
2023-10-21 14:51:36,0.04688,6.73326
2023-10-21 14:51:37,0.04557,6.52535
2023-10-21 14:51:38,0.33259,34.68359
2023-10-21 14:51:39,0.51563,40.82673
2023-10-21 14:51:40,0.51563,40.33249
2023-10-21 14:51:41,0.51302,37.80322
2023-10-21 14:51:42,0.51563,41.00950
2023-10-21 14:51:43,0.44196,40.44545
2023-10-21 14:51:44,0.51823,41.36246
2023-10-21 14:51:45,0.51563,39.64441
2023-10-21 14:51:46,0.51432,40.34031
2023-10-21 14:51:47,0.44196,41.81396
2023-10-21 14:51:48,0.51432,41.03380
2023-10-21 14:51:49,0.51693,40.68520
2023-10-21 14:51:50,0.51563,41.17781
2023-10-21 14:51:51,0.44308,39.68746
2023-10-21 14:51:52,0.51693,40.31279
2023-10-21 14:51:53,0.51563,40.50400
2023-10-21 14:51:54,0.51432,41.38102
2023-10-21 14:51:55,0.44085,41.53664
2023-10-21 14:51:56,0.51563,42.34766
2023-10-21 14:51:57,0.51432,41.86267
2023-10-21 14:51:58,0.51432,41.47204
2023-10-21 14:51:59,0.51432,43.16048
2023-10-21 14:52:00,0.43973,42.40462
2023-10-21 14:52:01,0.51432,39.62069
2023-10-21 14:52:02,0.51432,42.57823
2023-10-21 14:52:03,0.51302,42.98104
2023-10-21 14:52:04,0.43973,42.12241
2023-10-21 14:52:05,0.51432,43.07198
2023-10-21 14:52:06,0.51432,42.88135
2023-10-21 14:52:07,0.51302,41.94696
2023-10-21 14:52:08,0.44196,43.67969
2023-10-21 14:52:09,0.51432,43.32718
2023-10-21 14:52:10,0.51302,42.42745
2023-10-21 14:52:11,0.51563,40.95703
2023-10-21 14:52:12,0.51432,43.08162
2023-10-21 14:52:13,0.44085,41.75092
2023-10-21 14:52:14,0.51302,43.21303
2023-10-21 14:52:15,0.51432,43.14555
2023-10-21 14:52:16,0.51172,42.75068
2023-10-21 14:52:17,0.44196,43.41640
2023-10-21 14:52:18,0.51302,43.20918
2023-10-21 14:52:19,0.51432,42.20095
2023-10-21 14:52:20,0.51432,43.80511
2023-10-21 14:52:21,0.43973,43.36501
2023-10-21 14:52:22,0.51432,40.07327
2023-10-21 14:52:23,0.51432,41.83073
2023-10-21 14:52:24,0.51302,43.37706
2023-10-21 14:52:25,0.43973,42.16041
2023-10-21 14:52:26,0.51302,42.56085
2023-10-21 14:52:27,0.51432,43.37671
2023-10-21 14:52:28,0.51302,42.85493
2023-10-21 14:52:29,0.51302,43.61579
2023-10-21 14:52:30,0.43862,45.44062
2023-10-21 14:52:31,0.51172,46.91113
2023-10-21 14:52:32,0.51302,43.52105
2023-10-21 14:52:33,0.51172,46.76527
2023-10-21 14:52:34,0.43973,46.91311
2023-10-21 14:52:35,0.51302,44.95024
2023-10-21 14:52:36,0.51042,48.18079
2023-10-21 14:52:37,0.51302,47.07598
2023-10-21 14:52:38,0.43750,47.31754
2023-10-21 14:52:39,0.51172,45.00024
2023-10-21 14:52:40,0.51042,46.78233
2023-10-21 14:52:41,0.50911,47.89534
2023-10-21 14:52:42,0.43862,46.33768
2023-10-21 14:52:43,0.51172,46.13706
2023-10-21 14:52:44,0.51172,47.90490
2023-10-21 14:52:45,0.51172,48.51637
2023-10-21 14:52:46,0.43862,46.59948
2023-10-21 14:52:47,0.51042,46.85081
2023-10-21 14:52:48,0.51172,48.43183
2023-10-21 14:52:49,0.51172,47.19289
2023-10-21 14:52:50,0.51172,48.38635
2023-10-21 14:52:51,0.43862,43.77703
2023-10-21 14:52:52,0.51172,42.84328
2023-10-21 14:52:53,0.51302,46.10156
2023-10-21 14:52:54,0.51172,46.53105
2023-10-21 14:52:55,0.43862,47.37895
2023-10-21 14:52:56,0.51042,46.01953
2023-10-21 14:52:57,0.51172,47.33207
2023-10-21 14:52:58,0.51172,44.70481
2023-10-21 14:52:59,0.51042,41.45202
2023-10-21 14:53:00,0.51172,48.76079
2023-10-21 14:53:01,0.51172,46.62096
2023-10-21 14:53:02,0.50911,46.16920
2023-10-21 14:53:03,0.51172,44.92865
2023-10-21 14:53:04,0.43862,43.55350
2023-10-21 14:53:05,0.51042,46.76337
2023-10-21 14:53:06,0.51172,45.77169
2023-10-21 14:53:07,0.51042,46.54043
2023-10-21 14:53:08,0.43862,46.97927
2023-10-21 14:53:09,0.51042,46.68573
2023-10-21 14:53:10,0.51302,41.75641
2023-10-21 14:53:11,0.51563,39.82430
2023-10-21 14:53:12,0.43973,43.00000
2023-10-21 14:53:13,0.51302,41.11711
2023-10-21 14:53:14,0.51432,42.52172
2023-10-21 14:53:15,0.51302,41.79324
2023-10-21 14:53:16,0.51432,42.03822
2023-10-21 14:53:17,0.43973,41.88174
2023-10-21 14:53:18,0.51172,42.44084
2023-10-21 14:53:19,0.51302,41.48077
2023-10-21 14:53:20,0.51432,40.94654
2023-10-21 14:53:21,0.44085,41.56565
2023-10-21 14:53:22,0.51302,41.53384
2023-10-21 14:53:23,0.51563,38.34317
2023-10-21 14:53:24,0.51302,42.59491
2023-10-21 14:53:25,0.44196,41.96846
2023-10-21 14:53:26,0.51432,39.32843
2023-10-21 14:53:27,0.51302,42.16954
2023-10-21 14:53:28,0.51302,41.44366
2023-10-21 14:53:29,0.51693,37.84755
2023-10-21 14:53:30,0.44085,42.13847
2023-10-21 14:53:31,0.51172,42.16690
2023-10-21 14:53:32,0.51172,41.43972
2023-10-21 14:53:33,0.51302,42.49352
2023-10-21 14:53:34,0.43973,41.67220
2023-10-21 14:53:35,0.51172,39.98384
2023-10-21 14:53:36,0.51432,40.49715
2023-10-21 14:53:37,0.51172,41.00899
2023-10-21 14:53:38,0.51302,42.40583
2023-10-21 14:53:39,0.44085,40.92917
2023-10-21 14:53:40,0.51302,40.98607
2023-10-21 14:53:41,0.51432,42.18407
2023-10-21 14:53:42,0.51172,42.29821
2023-10-21 14:53:43,0.43973,40.91030
2023-10-21 14:53:44,0.51302,41.84326
2023-10-21 14:53:45,0.51172,41.94239
2023-10-21 14:53:46,0.51302,40.87003
2023-10-21 14:53:47,0.44085,41.09118
2023-10-21 14:53:48,0.51172,40.00425
2023-10-21 14:53:49,0.51432,36.83082
2023-10-21 14:53:50,0.51302,41.78010
2023-10-21 14:53:51,0.43973,41.16223
2023-10-21 14:53:52,0.51563,41.52973
2023-10-21 14:53:53,0.10417,10.97461
2023-10-21 14:53:54,0.07682,11.68008
2023-10-21 14:53:55,0.13542,17.66281
2023-10-21 14:53:56,0.12612,21.20221
2023-10-21 14:53:57,0.13802,19.53685
2023-10-21 14:53:58,0.09635,8.90851
2023-10-21 14:53:59,0.16016,14.02969
2023-10-21 14:54:00,0.12612,13.01105
2023-10-21 14:54:01,0.15234,14.05822
2023-10-21 14:54:02,0.13802,13.35911
2023-10-21 14:54:03,0.13281,15.13782
2023-10-21 14:54:04,0.13951,14.84699
2023-10-21 14:54:05,0.19271,17.43960
2023-10-21 14:54:06,0.19010,18.10154
2023-10-21 14:54:07,0.19141,18.01611
2023-10-21 14:54:08,0.14714,13.90728
2023-10-21 14:54:09,0.08371,9.79148
2023-10-21 14:54:10,0.13542,13.44058
2023-10-21 14:54:11,0.16406,16.54980
2023-10-21 14:54:12,0.17188,16.42569
2023-10-21 14:54:13,0.10491,11.74556
2023-10-21 14:54:14,0.05729,5.75904
2023-10-21 14:54:15,0.11068,11.02751
2023-10-21 14:54:16,0.07813,7.83013
2023-10-21 14:54:17,0.05208,5.78939
2023-10-21 14:54:18,0.11161,12.27875
2023-10-21 14:54:19,0.15755,15.19147
2023-10-21 14:54:20,0.14193,13.46533
2023-10-21 14:54:21,0.16276,15.69348
2023-10-21 14:54:22,0.11830,13.75427
2023-10-21 14:54:23,0.17578,16.42969
2023-10-21 14:54:24,0.16667,17.64466
2023-10-21 14:54:25,0.18750,19.29133
2023-10-21 14:54:26,0.15495,17.21029
2023-10-21 14:54:27,0.12388,15.09522
2023-10-21 14:54:28,0.16146,15.40582
2023-10-21 14:54:29,0.14583,13.77003
2023-10-21 14:54:30,0.19531,17.89314
2023-10-21 14:54:31,0.16183,18.13705
2023-10-21 14:54:32,0.21354,19.58590
2023-10-21 14:54:33,0.18880,18.59893
2023-10-21 14:54:34,0.17057,17.94711
2023-10-21 14:54:35,0.19401,18.41610
2023-10-21 14:54:36,0.19531,20.36925
2023-10-21 14:54:37,0.16927,16.61877
2023-10-21 14:54:38,0.14583,12.89489
2023-10-21 14:54:39,0.13542,13.72306
2023-10-21 14:54:40,0.17839,19.24651
2023-10-21 14:54:41,0.22210,23.49885
2023-10-21 14:54:42,0.23307,19.19758
2023-10-21 14:54:43,0.23958,20.47516
2023-10-21 14:54:44,0.22786,20.53133
2023-10-21 14:54:45,0.13839,16.06024
2023-10-21 14:54:46,0.19922,19.91349
2023-10-21 14:54:47,0.20052,18.59782
2023-10-21 14:54:48,0.14063,14.99794
2023-10-21 14:54:49,0.10714,13.93799
2023-10-21 14:54:50,0.19401,18.10764
2023-10-21 14:54:51,0.19922,18.35831
2023-10-21 14:54:52,0.21094,19.03711
2023-10-21 14:54:53,0.21224,18.93796
2023-10-21 14:54:54,0.20089,20.86092
2023-10-21 14:54:55,0.21745,19.96897
2023-10-21 14:54:56,0.17188,18.24310
2023-10-21 14:54:57,0.21875,20.40192
2023-10-21 14:54:58,0.17411,18.15621
2023-10-21 14:54:59,0.17188,16.94385
2023-10-21 14:55:00,0.22786,20.38352
2023-10-21 14:55:01,0.23568,20.31966
2023-10-21 14:55:02,0.23047,22.75727
2023-10-21 14:55:03,0.14844,17.04248
2023-10-21 14:55:04,0.17969,17.23353
2023-10-21 14:55:05,0.19271,17.60391
2023-10-21 14:55:06,0.24349,22.03056
2023-10-21 14:55:07,0.14844,15.93951
2023-10-21 14:55:08,0.19792,18.50470
2023-10-21 14:55:09,0.18750,17.57208
2023-10-21 14:55:10,0.18099,17.48837
2023-10-21 14:55:11,0.17708,16.44071
2023-10-21 14:55:12,0.16071,17.45014
2023-10-21 14:55:13,0.18880,16.81557
2023-10-21 14:55:14,0.16146,16.11268
2023-10-21 14:55:15,0.10938,10.94353
2023-10-21 14:55:16,0.17411,18.52805
2023-10-21 14:55:17,0.16406,15.12717
2023-10-21 14:55:18,0.09505,10.02571
2023-10-21 14:55:19,0.15365,14.37094
2023-10-21 14:55:20,0.17969,18.98511
2023-10-21 14:55:21,0.21224,18.59647
2023-10-21 14:55:22,0.22786,22.05052
2023-10-21 14:55:23,0.19401,19.43257
2023-10-21 14:55:24,0.16406,14.93069
2023-10-21 14:55:25,0.16853,17.67707
2023-10-21 14:55:26,0.23698,20.21422
2023-10-21 14:55:27,0.23438,21.32446
2023-10-21 14:55:28,0.19141,17.48676
2023-10-21 14:55:29,0.16797,15.30472
2023-10-21 14:55:30,0.18527,19.46964
2023-10-21 14:55:31,0.20703,18.45264
2023-10-21 14:55:32,0.16927,16.71309
2023-10-21 14:55:33,0.17578,16.27786
2023-10-21 14:55:34,0.16518,17.24392
2023-10-21 14:55:35,0.18099,16.75694
2023-10-21 14:55:36,0.20573,19.12383
2023-10-21 14:55:37,0.19922,18.57613
2023-10-21 14:55:38,0.17188,17.58686
2023-10-21 14:55:39,0.19531,18.29111
2023-10-21 14:55:40,0.22917,20.82165
2023-10-21 14:55:41,0.20833,18.41964
2023-10-21 14:55:42,0.18862,19.59646
2023-10-21 14:55:43,0.22917,20.40555
2023-10-21 14:55:44,0.13542,13.23174
