Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-22 11:26:02,0.11161,20.12274,20.12274,0.00000
2023-10-22 11:26:03,0.11979,17.04121,17.04121,0.00000
2023-10-22 11:26:04,0.21875,21.89149,21.89149,0.00000
2023-10-22 11:26:05,0.52604,37.23593,37.23593,0.00000
2023-10-22 11:26:06,0.43304,35.93674,35.93674,0.00000
2023-10-22 11:26:07,0.53125,37.63089,37.63089,0.00000
2023-10-22 11:26:08,0.52604,36.33417,36.33417,0.00000
2023-10-22 11:26:09,0.54167,36.91171,36.91171,0.00000
2023-10-22 11:26:10,0.44643,36.03293,36.03293,0.00000
2023-10-22 11:26:11,0.52604,38.54395,38.54395,0.00000
2023-10-22 11:26:12,0.54167,38.18564,38.18564,0.00000
2023-10-22 11:26:13,0.52083,36.35770,36.35770,0.00000
2023-10-22 11:26:14,0.45089,38.25250,38.25250,0.00000
2023-10-22 11:26:15,0.53125,35.36401,35.36401,0.00000
2023-10-22 11:26:16,0.52604,37.81348,37.81348,0.00000
2023-10-22 11:26:17,0.52604,36.85175,36.85175,0.00000
2023-10-22 11:26:18,0.54167,37.73218,37.73218,0.00000
2023-10-22 11:26:19,0.52604,38.10803,38.10803,0.00000
2023-10-22 11:26:20,0.52604,36.72302,36.72302,0.00000
2023-10-22 11:26:21,0.54167,37.94446,37.94446,0.00000
2023-10-22 11:26:22,0.52604,37.66034,37.66034,0.00000
2023-10-22 11:26:23,0.44643,36.01959,36.01959,0.00000
2023-10-22 11:26:24,0.53646,36.82892,36.82892,0.00000
2023-10-22 11:26:25,0.52604,38.45154,38.45154,0.00000
2023-10-22 11:26:26,0.52604,37.48273,37.48273,0.00000
2023-10-22 11:26:27,0.46429,36.99316,36.99316,0.00000
2023-10-22 11:26:28,0.52083,37.67041,37.67041,0.00000
2023-10-22 11:26:29,0.52604,37.67664,37.67664,0.00000
2023-10-22 11:26:30,0.53646,35.69958,35.69958,0.00000
2023-10-22 11:26:31,0.45536,37.69153,37.69153,0.00000
2023-10-22 11:26:32,0.52604,37.71350,37.71350,0.00000
2023-10-22 11:26:33,0.53125,38.07849,38.07849,0.00000
2023-10-22 11:26:34,0.53646,36.88867,36.88867,0.00000
2023-10-22 11:26:35,0.45089,37.76331,37.76331,0.00000
2023-10-22 11:26:36,0.52083,37.09583,37.09583,0.00000
2023-10-22 11:26:37,0.53125,35.06262,35.06262,0.00000
2023-10-22 11:26:38,0.53125,38.12952,38.12952,0.00000
2023-10-22 11:26:39,0.45536,37.72424,37.72424,0.00000
2023-10-22 11:26:40,0.53646,38.34668,38.34668,0.00000
2023-10-22 11:26:41,0.52604,37.58984,37.58984,0.00000
2023-10-22 11:26:42,0.53125,37.52319,37.52319,0.00000
2023-10-22 11:26:43,0.53646,36.25427,36.25427,0.00000
2023-10-22 11:26:44,0.44196,34.89539,34.89539,0.00000
2023-10-22 11:26:45,0.53125,37.74048,37.74048,0.00000
2023-10-22 11:26:46,0.53125,37.02747,37.02747,0.00000
2023-10-22 11:26:47,0.53125,37.09509,37.09509,0.00000
2023-10-22 11:26:48,0.46429,37.98352,37.98352,0.00000
2023-10-22 11:26:49,0.51042,36.62671,36.62671,0.00000
2023-10-22 11:26:50,0.52604,36.70923,36.70923,0.00000
2023-10-22 11:26:51,0.53646,37.94531,37.94531,0.00000
2023-10-22 11:26:52,0.45089,37.85376,37.85376,0.00000
2023-10-22 11:26:53,0.53125,38.05347,38.05347,0.00000
2023-10-22 11:26:54,0.53646,35.65540,35.65540,0.00000
2023-10-22 11:26:55,0.52604,37.51733,37.51733,0.00000
2023-10-22 11:26:56,0.44196,35.80835,35.80835,0.00000
2023-10-22 11:26:57,0.54167,36.92725,36.92725,0.00000
2023-10-22 11:26:58,0.52083,37.02319,37.02319,0.00000
2023-10-22 11:26:59,0.52604,37.75366,37.75366,0.00000
2023-10-22 11:27:00,0.46875,37.98608,37.98608,0.00000
2023-10-22 11:27:01,0.53125,37.65796,37.65796,0.00000
2023-10-22 11:27:02,0.54688,39.39380,39.39380,0.00000
2023-10-22 11:27:03,0.53646,37.79712,37.79712,0.00000
2023-10-22 11:27:04,0.52604,37.57349,37.57349,0.00000
2023-10-22 11:27:05,0.45089,37.64355,37.64355,0.00000
2023-10-22 11:27:06,0.54167,37.47559,37.47559,0.00000
2023-10-22 11:27:07,0.52604,37.17261,37.17261,0.00000
2023-10-22 11:27:08,0.52604,37.82300,37.82300,0.00000
2023-10-22 11:27:09,0.45982,38.13867,38.13867,0.00000
2023-10-22 11:27:10,0.52604,37.48438,37.48438,0.00000
2023-10-22 11:27:11,0.52604,36.81860,36.81860,0.00000
2023-10-22 11:27:12,0.53125,36.68164,36.68164,0.00000
2023-10-22 11:27:13,0.45982,38.27368,38.27368,0.00000
2023-10-22 11:27:14,0.52604,38.68921,38.68921,0.00000
2023-10-22 11:27:15,0.52083,35.26465,35.26465,0.00000
2023-10-22 11:27:16,0.52604,30.47827,30.47827,0.00000
2023-10-22 11:27:17,0.45089,36.82300,36.82300,0.00000
2023-10-22 11:27:18,0.51563,35.34814,35.34814,0.00000
2023-10-22 11:27:19,0.53646,36.25977,36.25977,0.00000
2023-10-22 11:27:20,0.52604,37.61670,37.61670,0.00000
2023-10-22 11:27:21,0.45089,37.95264,37.95264,0.00000
2023-10-22 11:27:22,0.53125,37.77075,37.77075,0.00000
2023-10-22 11:27:23,0.53125,37.71704,37.71704,0.00000
2023-10-22 11:27:24,0.52604,38.56348,38.56348,0.00000
2023-10-22 11:27:25,0.53646,37.43945,37.43945,0.00000
2023-10-22 11:27:26,0.44643,38.18701,38.18701,0.00000
2023-10-22 11:27:27,0.53125,38.21606,38.21606,0.00000
2023-10-22 11:27:28,0.53125,35.61157,35.61157,0.00000
2023-10-22 11:27:29,0.52604,36.76123,36.76123,0.00000
2023-10-22 11:27:30,0.45089,38.06177,38.06177,0.00000
2023-10-22 11:27:31,0.54167,38.27490,38.27490,0.00000
2023-10-22 11:27:32,0.51563,34.37231,34.37231,0.00000
2023-10-22 11:27:33,0.52604,36.38843,36.38843,0.00000
2023-10-22 11:27:34,0.45089,36.93433,36.93433,0.00000
2023-10-22 11:27:35,0.52604,38.42651,38.42651,0.00000
2023-10-22 11:27:36,0.53125,37.40918,37.40918,0.00000
2023-10-22 11:27:37,0.54167,37.96533,37.96533,0.00000
2023-10-22 11:27:38,0.44643,37.80737,37.80737,0.00000
2023-10-22 11:27:39,0.53125,38.02954,38.02954,0.00000
2023-10-22 11:27:40,0.54167,38.22949,38.22949,0.00000
2023-10-22 11:27:41,0.52083,37.79858,37.79858,0.00000
2023-10-22 11:27:42,0.45536,38.61768,38.61768,0.00000
2023-10-22 11:27:43,0.53646,37.84937,37.84937,0.00000
2023-10-22 11:27:44,0.52604,38.08813,38.08813,0.00000
2023-10-22 11:27:45,0.54167,38.29810,38.29810,0.00000
2023-10-22 11:27:46,0.45089,38.14600,38.14600,0.00000
2023-10-22 11:27:47,0.52604,37.79883,37.79883,0.00000
2023-10-22 11:27:48,0.53125,34.97168,34.97168,0.00000
2023-10-22 11:27:49,0.52083,36.54370,36.54370,0.00000
2023-10-22 11:27:50,0.53125,38.47607,38.47607,0.00000
2023-10-22 11:27:51,0.45536,37.84180,37.84180,0.00000
2023-10-22 11:27:52,0.53125,38.18164,38.18164,0.00000
2023-10-22 11:27:53,0.52604,39.25879,39.25879,0.00000
2023-10-22 11:27:54,0.52604,38.54541,38.54541,0.00000
2023-10-22 11:27:55,0.46429,37.93457,37.93457,0.00000
2023-10-22 11:27:56,0.53125,38.34375,38.34375,0.00000
2023-10-22 11:27:57,0.53125,38.10742,38.10742,0.00000
2023-10-22 11:27:58,0.53646,37.99121,37.99121,0.00000
2023-10-22 11:27:59,0.45089,38.75000,38.75000,0.00000
2023-10-22 11:28:00,0.52604,36.20898,36.20898,0.00000
2023-10-22 11:28:01,0.54167,39.35400,39.35400,0.00000
2023-10-22 11:28:02,0.52083,38.11328,38.11328,0.00000
2023-10-22 11:28:03,0.45089,38.44336,38.44336,0.00000
2023-10-22 11:28:04,0.53646,38.08105,38.08105,0.00000
2023-10-22 11:28:05,0.52083,37.70752,37.70752,0.00000
2023-10-22 11:28:06,0.53125,38.73584,38.73584,0.00000
2023-10-22 11:28:07,0.45536,34.53955,34.53955,0.00000
2023-10-22 11:28:08,0.52083,37.54932,37.54932,0.00000
2023-10-22 11:28:09,0.53125,38.23633,38.23633,0.00000
2023-10-22 11:28:10,0.53125,38.86572,38.86572,0.00000
2023-10-22 11:28:11,0.52083,36.13525,36.13525,0.00000
