Date,CPU Utilization,CPU Power
2023-10-27 11:38:55,0.11589,16.80570
2023-10-27 11:38:56,0.08464,12.31072
2023-10-27 11:38:57,0.15365,20.22363
2023-10-27 11:38:58,0.32520,31.65360
2023-10-27 11:38:59,0.51693,33.36840
2023-10-27 11:39:00,0.51432,33.13564
2023-10-27 11:39:01,0.51563,34.02746
2023-10-27 11:39:02,0.51693,32.63792
2023-10-27 11:39:03,0.51953,36.67325
2023-10-27 11:39:04,0.51693,35.61527
2023-10-27 11:39:05,0.51823,34.58410
2023-10-27 11:39:06,0.38965,36.93559
2023-10-27 11:39:07,0.51953,36.44159
2023-10-27 11:39:08,0.51823,37.34299
2023-10-27 11:39:09,0.52083,37.80553
2023-10-27 11:39:10,0.51432,33.13303
2023-10-27 11:39:11,0.51693,36.54028
2023-10-27 11:39:12,0.51953,37.00896
2023-10-27 11:39:13,0.51953,36.22606
2023-10-27 11:39:14,0.51823,37.75505
2023-10-27 11:39:15,0.38867,35.49613
2023-10-27 11:39:16,0.51823,36.82195
2023-10-27 11:39:17,0.51693,36.03240
2023-10-27 11:39:18,0.52083,36.52537
2023-10-27 11:39:19,0.51823,36.36158
2023-10-27 11:39:20,0.51823,35.70778
2023-10-27 11:39:21,0.51823,37.20475
2023-10-27 11:39:22,0.51953,36.29350
2023-10-27 11:39:23,0.38867,37.40486
2023-10-27 11:39:24,0.51953,36.60381
2023-10-27 11:39:25,0.51823,33.92877
2023-10-27 11:39:26,0.51693,37.29552
2023-10-27 11:39:27,0.51953,36.76583
2023-10-27 11:39:28,0.51823,38.15592
2023-10-27 11:39:29,0.51823,35.21066
2023-10-27 11:39:30,0.52214,36.49189
2023-10-27 11:39:31,0.51823,37.59829
2023-10-27 11:39:32,0.38867,35.85592
2023-10-27 11:39:33,0.51953,37.36767
2023-10-27 11:39:34,0.51823,36.68377
2023-10-27 11:39:35,0.52083,36.57084
2023-10-27 11:39:36,0.51953,35.10694
2023-10-27 11:39:37,0.51823,35.77320
2023-10-27 11:39:38,0.51953,35.96755
2023-10-27 11:39:39,0.51953,37.10919
2023-10-27 11:39:40,0.38965,36.38484
2023-10-27 11:39:41,0.51823,35.04462
2023-10-27 11:39:42,0.51953,36.63077
2023-10-27 11:39:43,0.51953,37.86534
2023-10-27 11:39:44,0.51693,36.40948
2023-10-27 11:39:45,0.51563,33.63687
2023-10-27 11:39:46,0.51953,36.97840
2023-10-27 11:39:47,0.51953,36.32810
2023-10-27 11:39:48,0.51953,36.14471
2023-10-27 11:39:49,0.38867,36.80069
2023-10-27 11:39:50,0.52083,35.97881
2023-10-27 11:39:51,0.51823,37.42133
2023-10-27 11:39:52,0.51563,35.65087
2023-10-27 11:39:53,0.52214,36.43386
2023-10-27 11:39:54,0.51823,36.52384
2023-10-27 11:39:55,0.51953,37.43711
2023-10-27 11:39:56,0.51953,36.55886
2023-10-27 11:39:57,0.38867,36.40047
2023-10-27 11:39:58,0.51953,36.34809
2023-10-27 11:39:59,0.52083,36.23046
2023-10-27 11:40:00,0.51953,36.00428
2023-10-27 11:40:01,0.51953,37.25193
2023-10-27 11:40:02,0.51693,37.64032
2023-10-27 11:40:03,0.52083,37.17899
2023-10-27 11:40:04,0.52083,36.87274
2023-10-27 11:40:05,0.38965,35.47711
2023-10-27 11:40:06,0.51432,32.94784
2023-10-27 11:40:07,0.51823,36.17265
2023-10-27 11:40:08,0.51563,33.58266
2023-10-27 11:40:09,0.51953,38.43245
2023-10-27 11:40:10,0.51823,36.55384
2023-10-27 11:40:11,0.51953,36.92015
2023-10-27 11:40:12,0.51953,37.21524
2023-10-27 11:40:13,0.51693,36.45096
2023-10-27 11:40:14,0.38965,36.83528
2023-10-27 11:40:15,0.51823,37.34713
2023-10-27 11:40:16,0.51823,36.88572
2023-10-27 11:40:17,0.51823,34.07232
2023-10-27 11:40:18,0.51823,36.47038
2023-10-27 11:40:19,0.52083,37.47679
2023-10-27 11:40:20,0.51823,35.65417
2023-10-27 11:40:21,0.51953,37.31839
2023-10-27 11:40:22,0.51823,37.68174
2023-10-27 11:40:23,0.38770,36.02555
