Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-21 21:32:40,0.13021,19.46875,19.46875,0.00000
2023-10-21 21:32:41,0.08482,13.46875,13.46875,0.00000
2023-10-21 21:32:42,0.16146,20.46875,20.46875,0.00000
2023-10-21 21:32:43,0.41146,31.43750,31.43750,0.00000
2023-10-21 21:32:44,0.53906,36.01563,36.01563,0.00000
2023-10-21 21:32:45,0.44866,33.35938,33.35938,0.00000
2023-10-21 21:32:46,0.52344,34.29688,34.29688,0.00000
2023-10-21 21:32:47,0.54427,37.78125,37.78125,0.00000
2023-10-21 21:32:48,0.52865,37.20313,37.20313,0.00000
2023-10-21 21:32:49,0.45313,37.65625,37.65625,0.00000
2023-10-21 21:32:50,0.52604,35.79688,35.79688,0.00000
2023-10-21 21:32:51,0.53385,36.07813,36.07813,0.00000
2023-10-21 21:32:52,0.52865,37.14063,37.14063,0.00000
2023-10-21 21:32:53,0.53125,38.06250,38.06250,0.00000
2023-10-21 21:32:54,0.45536,34.76563,34.76563,0.00000
2023-10-21 21:32:55,0.52083,34.40625,34.40625,0.00000
2023-10-21 21:32:56,0.52604,37.21875,37.21875,0.00000
2023-10-21 21:32:57,0.53646,36.70313,36.70313,0.00000
2023-10-21 21:32:58,0.45089,36.15625,36.15625,0.00000
2023-10-21 21:32:59,0.52344,37.46875,37.46875,0.00000
2023-10-21 21:33:00,0.54167,37.45313,37.45313,0.00000
2023-10-21 21:33:01,0.51823,36.04688,36.04688,0.00000
2023-10-21 21:33:02,0.45313,38.20313,38.20313,0.00000
2023-10-21 21:33:03,0.54167,37.43750,37.43750,0.00000
2023-10-21 21:33:04,0.52604,36.10938,36.10938,0.00000
2023-10-21 21:33:05,0.52604,35.68750,35.68750,0.00000
2023-10-21 21:33:06,0.53646,37.78125,37.78125,0.00000
2023-10-21 21:33:07,0.44866,38.67188,38.67188,0.00000
2023-10-21 21:33:08,0.54688,34.71875,34.71875,0.00000
2023-10-21 21:33:09,0.54427,36.90625,36.90625,0.00000
2023-10-21 21:33:10,0.52865,37.03125,37.03125,0.00000
2023-10-21 21:33:11,0.52865,38.21875,38.21875,0.00000
2023-10-21 21:33:12,0.46205,38.10938,38.10938,0.00000
2023-10-21 21:33:13,0.52865,37.37500,37.37500,0.00000
2023-10-21 21:33:14,0.52604,38.62500,38.62500,0.00000
2023-10-21 21:33:15,0.54167,37.78125,37.78125,0.00000
2023-10-21 21:33:16,0.52604,37.93750,37.93750,0.00000
2023-10-21 21:33:17,0.45536,36.78125,36.78125,0.00000
2023-10-21 21:33:18,0.53646,36.48438,36.48438,0.00000
2023-10-21 21:33:19,0.52604,37.81250,37.81250,0.00000
2023-10-21 21:33:20,0.53906,37.56250,37.56250,0.00000
2023-10-21 21:33:21,0.45089,37.85938,37.85938,0.00000
2023-10-21 21:33:22,0.52604,37.68750,37.68750,0.00000
2023-10-21 21:33:23,0.54167,37.93750,37.93750,0.00000
2023-10-21 21:33:24,0.52604,35.89063,35.89063,0.00000
2023-10-21 21:33:25,0.45089,37.92188,37.92188,0.00000
2023-10-21 21:33:26,0.53646,36.60938,36.60938,0.00000
2023-10-21 21:33:27,0.53125,37.56250,37.56250,0.00000
2023-10-21 21:33:28,0.52604,37.96875,37.96875,0.00000
2023-10-21 21:33:29,0.45536,38.39063,38.39063,0.00000
2023-10-21 21:33:30,0.53646,38.50000,38.50000,0.00000
2023-10-21 21:33:31,0.52604,37.03125,37.03125,0.00000
2023-10-21 21:33:32,0.53125,38.07813,38.07813,0.00000
2023-10-21 21:33:33,0.45982,37.20313,37.20313,0.00000
2023-10-21 21:33:34,0.52604,37.06250,37.06250,0.00000
2023-10-21 21:33:35,0.53125,38.07813,38.07813,0.00000
2023-10-21 21:33:36,0.53125,35.79688,35.79688,0.00000
2023-10-21 21:33:37,0.45089,37.78125,37.78125,0.00000
2023-10-21 21:33:38,0.52083,37.50000,37.50000,0.00000
2023-10-21 21:33:39,0.56771,37.21875,37.21875,0.00000
2023-10-21 21:33:40,0.53125,38.06250,38.06250,0.00000
2023-10-21 21:33:41,0.52604,38.64063,38.64063,0.00000
2023-10-21 21:33:42,0.53125,33.65625,33.65625,0.00000
2023-10-21 21:33:43,0.45089,38.03125,38.03125,0.00000
2023-10-21 21:33:44,0.53125,37.71875,37.71875,0.00000
2023-10-21 21:33:45,0.53646,37.78125,37.78125,0.00000
2023-10-21 21:33:46,0.52865,37.90625,37.90625,0.00000
2023-10-21 21:33:47,0.52344,34.46875,34.46875,0.00000
2023-10-21 21:33:48,0.46205,39.21875,39.21875,0.00000
2023-10-21 21:33:49,0.52865,36.95313,36.95313,0.00000
2023-10-21 21:33:50,0.52604,34.68750,34.68750,0.00000
2023-10-21 21:33:51,0.54167,36.98438,36.98438,0.00000
2023-10-21 21:33:52,0.44643,34.90625,34.90625,0.00000
2023-10-21 21:33:53,0.52865,35.81250,35.81250,0.00000
2023-10-21 21:33:54,0.53385,35.56250,35.56250,0.00000
2023-10-21 21:33:55,0.52083,36.48438,36.48438,0.00000
2023-10-21 21:33:56,0.45089,39.20313,39.20313,0.00000
2023-10-21 21:33:57,0.54167,38.42188,38.42188,0.00000
2023-10-21 21:33:58,0.52604,37.53125,37.53125,0.00000
2023-10-21 21:33:59,0.52604,38.12500,38.12500,0.00000
2023-10-21 21:34:00,0.46429,37.18750,37.18750,0.00000
2023-10-21 21:34:01,0.52604,36.89063,36.89063,0.00000
2023-10-21 21:34:02,0.52083,36.29688,36.29688,0.00000
2023-10-21 21:34:03,0.53646,37.15625,37.15625,0.00000
2023-10-21 21:34:04,0.45313,38.01563,38.01563,0.00000
2023-10-21 21:34:05,0.52604,37.96875,37.96875,0.00000
2023-10-21 21:34:06,0.53906,35.18750,35.18750,0.00000
2023-10-21 21:34:07,0.52604,36.12500,36.12500,0.00000
2023-10-21 21:34:08,0.45089,38.10938,38.10938,0.00000
2023-10-21 21:34:09,0.54427,38.92188,38.92188,0.00000
2023-10-21 21:34:10,0.56510,38.37500,38.37500,0.00000
2023-10-21 21:34:11,0.52865,38.26563,38.26563,0.00000
2023-10-21 21:34:12,0.54427,37.84375,37.84375,0.00000
2023-10-21 21:34:13,0.52344,36.90625,36.90625,0.00000
2023-10-21 21:34:14,0.45313,38.12500,38.12500,0.00000
2023-10-21 21:34:15,0.53906,36.64063,36.64063,0.00000
2023-10-21 21:34:16,0.52865,39.64063,39.64063,0.00000
2023-10-21 21:34:17,0.52604,37.75000,37.75000,0.00000
2023-10-21 21:34:18,0.53906,37.42188,37.42188,0.00000
2023-10-21 21:34:19,0.45089,37.78125,37.78125,0.00000
2023-10-21 21:34:20,0.52344,37.98438,37.98438,0.00000
2023-10-21 21:34:21,0.54427,37.87500,37.87500,0.00000
2023-10-21 21:34:22,0.52865,38.01563,38.01563,0.00000
2023-10-21 21:34:23,0.44866,37.09375,37.09375,0.00000
2023-10-21 21:34:24,0.54167,35.75000,35.75000,0.00000
2023-10-21 21:34:25,0.52604,38.39063,38.39063,0.00000
2023-10-21 21:34:26,0.52344,36.40625,36.40625,0.00000
2023-10-21 21:34:27,0.45759,35.48438,35.48438,0.00000
2023-10-21 21:34:28,0.52604,38.21875,38.21875,0.00000
2023-10-21 21:34:29,0.52604,38.03125,38.03125,0.00000
2023-10-21 21:34:30,0.53906,38.15625,38.15625,0.00000
2023-10-21 21:34:31,0.44866,37.48438,37.48438,0.00000
2023-10-21 21:34:32,0.52344,35.95313,35.95313,0.00000
2023-10-21 21:34:33,0.54167,37.90625,37.90625,0.00000
2023-10-21 21:34:34,0.52604,37.64063,37.64063,0.00000
2023-10-21 21:34:35,0.45089,38.84375,38.84375,0.00000
2023-10-21 21:34:36,0.53646,35.62500,35.62500,0.00000
2023-10-21 21:34:37,0.52604,38.95313,38.95313,0.00000
2023-10-21 21:34:38,0.52865,37.96875,37.96875,0.00000
2023-10-21 21:34:39,0.53385,36.56250,36.56250,0.00000
2023-10-21 21:34:40,0.45313,37.98438,37.98438,0.00000
2023-10-21 21:34:41,0.57031,38.06250,38.06250,0.00000
2023-10-21 21:34:42,0.53385,35.90625,35.90625,0.00000
2023-10-21 21:34:43,0.52344,38.82813,38.82813,0.00000
2023-10-21 21:34:44,0.52865,37.53125,37.53125,0.00000
2023-10-21 21:34:45,0.45982,31.81250,31.81250,0.00000
2023-10-21 21:34:46,0.52604,37.78125,37.78125,0.00000
2023-10-21 21:34:47,0.52604,37.76563,37.76563,0.00000
2023-10-21 21:34:48,0.53906,36.42188,36.42188,0.00000
2023-10-21 21:34:49,0.45313,37.98438,37.98438,0.00000
2023-10-21 21:34:50,0.52604,37.56250,37.56250,0.00000
2023-10-21 21:34:51,0.54167,37.31250,37.31250,0.00000
2023-10-21 21:34:52,0.52865,38.01563,38.01563,0.00000
2023-10-21 21:34:53,0.52344,35.90625,35.90625,0.00000
2023-10-21 21:34:54,0.46429,38.93750,38.93750,0.00000
2023-10-21 21:34:55,0.53125,38.01563,38.01563,0.00000
2023-10-21 21:34:56,0.52083,38.04688,38.04688,0.00000
2023-10-21 21:34:57,0.53906,35.42188,35.42188,0.00000
2023-10-21 21:34:58,0.45089,38.14063,38.14063,0.00000
2023-10-21 21:34:59,0.52865,38.43750,38.43750,0.00000
2023-10-21 21:35:00,0.54167,37.89063,37.89063,0.00000
2023-10-21 21:35:01,0.52865,37.79688,37.79688,0.00000
2023-10-21 21:35:02,0.45089,38.76563,38.76563,0.00000
2023-10-21 21:35:03,0.54167,38.10938,38.10938,0.00000
2023-10-21 21:35:04,0.52604,35.87500,35.87500,0.00000
2023-10-21 21:35:05,0.52344,34.98438,34.98438,0.00000
