Date,CPU Utilization,CPU Power
2023-10-21 21:32:40,0.12370,18.49531
2023-10-21 21:32:41,0.07478,11.87377
2023-10-21 21:32:42,0.15755,19.97354
2023-10-21 21:32:43,0.40104,30.64161
2023-10-21 21:32:44,0.51693,34.53672
2023-10-21 21:32:45,0.44308,32.94446
2023-10-21 21:32:46,0.51563,33.78498
2023-10-21 21:32:47,0.51953,36.06392
2023-10-21 21:32:48,0.52214,36.74496
2023-10-21 21:32:49,0.44420,36.91426
2023-10-21 21:32:50,0.51823,35.26524
2023-10-21 21:32:51,0.51693,34.93418
2023-10-21 21:32:52,0.51953,36.50027
2023-10-21 21:32:53,0.51953,37.22289
2023-10-21 21:32:54,0.44196,33.74311
2023-10-21 21:32:55,0.51432,33.97617
2023-10-21 21:32:56,0.51823,36.66600
2023-10-21 21:32:57,0.51693,35.36685
2023-10-21 21:32:58,0.44531,35.70877
2023-10-21 21:32:59,0.51563,36.90952
2023-10-21 21:33:00,0.51953,35.92259
2023-10-21 21:33:01,0.51823,36.04688
2023-10-21 21:33:02,0.44420,37.45036
2023-10-21 21:33:03,0.51823,35.81761
2023-10-21 21:33:04,0.51953,35.66248
2023-10-21 21:33:05,0.51693,35.06915
2023-10-21 21:33:06,0.51823,36.49742
2023-10-21 21:33:07,0.44531,38.38328
2023-10-21 21:33:08,0.51302,32.56949
2023-10-21 21:33:09,0.52083,35.31699
2023-10-21 21:33:10,0.51953,36.39278
2023-10-21 21:33:11,0.51953,37.55981
2023-10-21 21:33:12,0.44420,36.63655
2023-10-21 21:33:13,0.51953,36.73061
2023-10-21 21:33:14,0.51823,38.05136
2023-10-21 21:33:15,0.51953,36.23730
2023-10-21 21:33:16,0.51823,37.37407
2023-10-21 21:33:17,0.44531,35.96990
2023-10-21 21:33:18,0.51823,35.24462
2023-10-21 21:33:19,0.51823,37.25093
2023-10-21 21:33:20,0.51823,36.11081
2023-10-21 21:33:21,0.44531,37.39082
2023-10-21 21:33:22,0.52083,37.31435
2023-10-21 21:33:23,0.51953,36.38717
2023-10-21 21:33:24,0.51693,35.26876
2023-10-21 21:33:25,0.44531,37.45255
2023-10-21 21:33:26,0.51823,35.36537
2023-10-21 21:33:27,0.51953,36.73392
2023-10-21 21:33:28,0.51953,37.49884
2023-10-21 21:33:29,0.44531,37.54377
2023-10-21 21:33:30,0.51693,37.09830
2023-10-21 21:33:31,0.51823,36.48128
2023-10-21 21:33:32,0.52083,37.33149
2023-10-21 21:33:33,0.44420,35.93894
2023-10-21 21:33:34,0.51953,36.60381
2023-10-21 21:33:35,0.51953,37.23817
2023-10-21 21:33:36,0.51693,34.83176
2023-10-21 21:33:37,0.44643,37.40718
2023-10-21 21:33:38,0.51563,37.12500
2023-10-21 21:33:39,0.51693,33.88955
2023-10-21 21:33:40,0.51953,37.22289
2023-10-21 21:33:41,0.51823,38.06676
2023-10-21 21:33:42,0.51432,32.58387
2023-10-21 21:33:43,0.44866,37.84298
2023-10-21 21:33:44,0.51823,36.79427
2023-10-21 21:33:45,0.51953,36.58912
2023-10-21 21:33:46,0.52083,37.34606
2023-10-21 21:33:47,0.51563,33.95429
2023-10-21 21:33:48,0.44420,37.70305
2023-10-21 21:33:49,0.52083,36.40702
2023-10-21 21:33:50,0.51693,34.08648
2023-10-21 21:33:51,0.51823,35.38409
2023-10-21 21:33:52,0.44308,34.64445
2023-10-21 21:33:53,0.51823,35.10683
2023-10-21 21:33:54,0.51563,34.34817
2023-10-21 21:33:55,0.51823,36.30196
2023-10-21 21:33:56,0.44531,38.71794
2023-10-21 21:33:57,0.51693,36.66703
2023-10-21 21:33:58,0.51953,37.06675
2023-10-21 21:33:59,0.51953,37.65316
2023-10-21 21:34:00,0.44420,35.57843
2023-10-21 21:34:01,0.51693,36.25143
2023-10-21 21:34:02,0.51693,36.02465
2023-10-21 21:34:03,0.51823,35.89366
2023-10-21 21:34:04,0.44531,37.36018
2023-10-21 21:34:05,0.51953,37.49884
2023-10-21 21:34:06,0.51563,33.65761
2023-10-21 21:34:07,0.51823,35.58849
2023-10-21 21:34:08,0.44531,37.63772
2023-10-21 21:34:09,0.51823,37.05959
2023-10-21 21:34:10,0.51693,35.10340
2023-10-21 21:34:11,0.52083,37.70012
2023-10-21 21:34:12,0.51823,36.03305
2023-10-21 21:34:13,0.51693,36.44722
2023-10-21 21:34:14,0.44531,37.46767
2023-10-21 21:34:15,0.51953,35.31306
2023-10-21 21:34:16,0.51823,38.85953
2023-10-21 21:34:17,0.51953,37.28279
2023-10-21 21:34:18,0.51823,35.97562
2023-10-21 21:34:19,0.44420,37.22014
2023-10-21 21:34:20,0.51823,37.60642
2023-10-21 21:34:21,0.52214,36.33463
2023-10-21 21:34:22,0.52083,37.45382
2023-10-21 21:34:23,0.44531,36.81693
2023-10-21 21:34:24,0.51563,34.03125
2023-10-21 21:34:25,0.51953,37.91549
2023-10-21 21:34:26,0.51823,36.04400
2023-10-21 21:34:27,0.44308,34.35926
2023-10-21 21:34:28,0.51953,37.74574
2023-10-21 21:34:29,0.51953,37.56057
2023-10-21 21:34:30,0.51953,36.77378
2023-10-21 21:34:31,0.44308,37.01815
2023-10-21 21:34:32,0.51693,35.50595
2023-10-21 21:34:33,0.51953,36.35720
2023-10-21 21:34:34,0.51953,37.17477
2023-10-21 21:34:35,0.44531,38.36301
2023-10-21 21:34:36,0.51563,34.24150
2023-10-21 21:34:37,0.51823,38.37461
2023-10-21 21:34:38,0.51953,37.31412
2023-10-21 21:34:39,0.51823,35.49238
2023-10-21 21:34:40,0.44531,37.32947
2023-10-21 21:34:41,0.51953,34.67337
2023-10-21 21:34:42,0.51172,34.41745
2023-10-21 21:34:43,0.51953,38.53836
2023-10-21 21:34:44,0.51953,36.88416
2023-10-21 21:34:45,0.43973,30.42263
2023-10-21 21:34:46,0.52083,37.40718
2023-10-21 21:34:47,0.52083,37.39170
2023-10-21 21:34:48,0.51823,35.01427
2023-10-21 21:34:49,0.44531,37.32947
2023-10-21 21:34:50,0.51953,37.09761
2023-10-21 21:34:51,0.51823,35.69802
2023-10-21 21:34:52,0.51953,37.36018
2023-10-21 21:34:53,0.51953,35.63829
2023-10-21 21:34:54,0.44420,37.25270
2023-10-21 21:34:55,0.51953,37.17704
2023-10-21 21:34:56,0.51823,37.85664
2023-10-21 21:34:57,0.51693,33.96735
2023-10-21 21:34:58,0.44531,37.66859
