Date,CPU Utilization,CPU Power
2023-10-20 19:52:58,0.09598,16.97604
2023-10-20 19:52:59,0.13672,18.64633
2023-10-20 19:53:00,0.43099,36.78273
2023-10-20 19:53:01,0.51432,43.40371
2023-10-20 19:53:02,0.44196,40.03405
2023-10-20 19:53:03,0.51432,42.23589
2023-10-20 19:53:04,0.51432,43.46283
2023-10-20 19:53:05,0.51432,44.02184
2023-10-20 19:53:06,0.51563,42.35708
2023-10-20 19:53:07,0.44085,43.07906
2023-10-20 19:53:08,0.51432,44.06719
2023-10-20 19:53:09,0.51302,39.92597
2023-10-20 19:53:10,0.51432,42.17965
2023-10-20 19:53:11,0.44085,42.92399
2023-10-20 19:53:12,0.51432,37.93259
2023-10-20 19:53:13,0.51563,43.31250
2023-10-20 19:53:14,0.51302,42.90906
2023-10-20 19:53:15,0.43973,42.10274
2023-10-20 19:53:16,0.51432,43.75860
2023-10-20 19:53:17,0.51432,42.09219
2023-10-20 19:53:18,0.51302,42.21860
2023-10-20 19:53:19,0.44085,41.56849
2023-10-20 19:53:20,0.51432,44.36036
2023-10-20 19:53:21,0.51172,42.44255
2023-10-20 19:53:22,0.51563,42.16781
2023-10-20 19:53:23,0.43973,43.04758
2023-10-20 19:53:24,0.51563,37.97427
2023-10-20 19:53:25,0.51432,44.09805
2023-10-20 19:53:26,0.51302,43.84757
2023-10-20 19:53:27,0.51432,40.46511
2023-10-20 19:53:28,0.43973,39.89125
2023-10-20 19:53:29,0.51432,43.95123
2023-10-20 19:53:30,0.51302,43.87090
2023-10-20 19:53:31,0.51302,42.81532
2023-10-20 19:53:32,0.44085,38.87661
2023-10-20 19:53:33,0.51432,40.94918
2023-10-20 19:53:34,0.51172,43.46027
2023-10-20 19:53:35,0.51432,42.78653
2023-10-20 19:53:36,0.51302,42.35076
2023-10-20 19:53:37,0.44085,41.71443
2023-10-20 19:53:38,0.36589,32.79248
2023-10-20 19:53:39,0.20182,21.76660
2023-10-20 19:53:40,0.07813,11.76011
2023-10-20 19:53:41,0.03683,6.45964
2023-10-20 19:53:42,0.10026,14.93379
2023-10-20 19:53:43,0.43490,35.78788
2023-10-20 19:53:44,0.51302,41.47773
2023-10-20 19:53:45,0.43862,39.57463
2023-10-20 19:53:46,0.51172,40.09292
2023-10-20 19:53:47,0.51172,41.84665
2023-10-20 19:53:48,0.51302,41.77016
2023-10-20 19:53:49,0.43973,41.22868
2023-10-20 19:53:50,0.51432,39.22227
2023-10-20 19:53:51,0.51172,42.06948
2023-10-20 19:53:52,0.51302,39.09520
2023-10-20 19:53:53,0.51172,42.34860
2023-10-20 19:53:54,0.51042,41.92563
2023-10-20 19:53:55,0.51563,38.59529
2023-10-20 19:53:56,0.51172,41.87351
2023-10-20 19:53:57,0.51563,40.02351
2023-10-20 19:53:58,0.43750,41.95163
2023-10-20 19:53:59,0.51302,42.01183
2023-10-20 19:54:00,0.51302,40.94205
2023-10-20 19:54:01,0.51042,41.71125
2023-10-20 19:54:02,0.43973,40.26690
2023-10-20 19:54:03,0.51172,40.66659
