Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-20 21:51:51,0.09821,17.68750,17.68750,0.00000
2023-10-20 21:51:52,0.13802,18.41406,18.41406,0.00000
2023-10-20 21:51:53,0.43490,38.53125,38.53125,0.00000
2023-10-20 21:51:54,0.52083,43.46875,43.46875,0.00000
2023-10-20 21:51:55,0.45536,42.47656,42.47656,0.00000
2023-10-20 21:51:56,0.52083,43.89063,43.89063,0.00000
2023-10-20 21:51:57,0.52083,44.32031,44.32031,0.00000
2023-10-20 21:51:58,0.53646,43.97656,43.97656,0.00000
2023-10-20 21:51:59,0.45089,43.53906,43.53906,0.00000
2023-10-20 21:52:00,0.52083,40.67188,40.67188,0.00000
2023-10-20 21:52:01,0.53385,44.12500,44.12500,0.00000
2023-10-20 21:52:02,0.51563,43.92188,43.92188,0.00000
2023-10-20 21:52:03,0.44643,44.39063,44.39063,0.00000
2023-10-20 21:52:04,0.52344,43.21094,43.21094,0.00000
2023-10-20 21:52:05,0.51823,42.25000,42.25000,0.00000
2023-10-20 21:52:06,0.51563,42.02344,42.02344,0.00000
2023-10-20 21:52:07,0.53385,43.81250,43.81250,0.00000
2023-10-20 21:52:08,0.44643,39.43750,39.43750,0.00000
2023-10-20 21:52:09,0.52604,43.50781,43.50781,0.00000
2023-10-20 21:52:10,0.54167,39.35156,39.35156,0.00000
2023-10-20 21:52:11,0.51823,43.82031,43.82031,0.00000
2023-10-20 21:52:12,0.44866,44.60156,44.60156,0.00000
2023-10-20 21:52:13,0.52604,43.47656,43.47656,0.00000
2023-10-20 21:52:14,0.52083,43.38281,43.38281,0.00000
2023-10-20 21:52:15,0.52604,42.39844,42.39844,0.00000
2023-10-20 21:52:16,0.45536,39.46094,39.46094,0.00000
2023-10-20 21:52:17,0.52865,41.11719,41.11719,0.00000
2023-10-20 21:52:18,0.52083,44.39844,44.39844,0.00000
2023-10-20 21:52:19,0.53385,44.03906,44.03906,0.00000
2023-10-20 21:52:20,0.44196,43.09375,43.09375,0.00000
2023-10-20 21:52:21,0.51563,41.67188,41.67188,0.00000
2023-10-20 21:52:22,0.53646,44.00000,44.00000,0.00000
2023-10-20 21:52:23,0.51823,44.51563,44.51563,0.00000
2023-10-20 21:52:24,0.44420,44.30469,44.30469,0.00000
2023-10-20 21:52:25,0.53385,43.24219,43.24219,0.00000
2023-10-20 21:52:26,0.51563,44.84375,44.84375,0.00000
2023-10-20 21:52:27,0.52344,44.50781,44.50781,0.00000
2023-10-20 21:52:28,0.45982,45.03906,45.03906,0.00000
2023-10-20 21:52:29,0.51563,43.77344,43.77344,0.00000
2023-10-20 21:52:30,0.51563,45.20313,45.20313,0.00000
2023-10-20 21:52:31,0.25000,27.41406,27.41406,0.00000
2023-10-20 21:52:32,0.17411,22.21094,22.21094,0.00000
2023-10-20 21:52:33,0.05729,8.29688,8.29688,0.00000
2023-10-20 21:52:34,0.08594,10.95313,10.95313,0.00000
2023-10-20 21:52:35,0.25781,27.71094,27.71094,0.00000
2023-10-20 21:52:36,0.44196,36.72656,36.72656,0.00000
2023-10-20 21:52:37,0.52604,40.98438,40.98438,0.00000
2023-10-20 21:52:38,0.52083,40.68750,40.68750,0.00000
2023-10-20 21:52:39,0.52344,42.04688,42.04688,0.00000
2023-10-20 21:52:40,0.45313,40.60938,40.60938,0.00000
2023-10-20 21:52:41,0.51302,42.60156,42.60156,0.00000
2023-10-20 21:52:42,0.51823,42.02344,42.02344,0.00000
2023-10-20 21:52:43,0.52865,40.26563,40.26563,0.00000
2023-10-20 21:52:44,0.52083,42.21094,42.21094,0.00000
2023-10-20 21:52:45,0.44643,41.97656,41.97656,0.00000
2023-10-20 21:52:46,0.52865,42.64063,42.64063,0.00000
2023-10-20 21:52:47,0.51302,42.65625,42.65625,0.00000
2023-10-20 21:52:48,0.51563,41.79688,41.79688,0.00000
2023-10-20 21:52:49,0.45536,38.68750,38.68750,0.00000
2023-10-20 21:52:50,0.51042,42.56250,42.56250,0.00000
2023-10-20 21:52:51,0.52083,41.44531,41.44531,0.00000
2023-10-20 21:52:52,0.53385,41.54688,41.54688,0.00000
2023-10-20 21:52:53,0.49777,40.32813,40.32813,0.00000
2023-10-20 21:52:54,0.54688,41.22656,41.22656,0.00000
2023-10-20 21:52:55,0.53906,39.22656,39.22656,0.00000
2023-10-20 21:52:56,0.64063,42.40625,42.40625,0.00000
2023-10-20 21:52:58,0.54688,42.12500,42.12500,0.00000
2023-10-20 21:52:59,0.55208,40.94531,40.94531,0.00000
2023-10-20 21:53:00,0.53385,37.78125,37.78125,0.00000
2023-10-20 21:53:01,0.65312,38.46875,38.46875,0.00000
2023-10-20 21:53:02,0.55208,37.41406,37.41406,0.00000
2023-10-20 21:53:03,0.54167,42.32813,42.32813,0.00000
2023-10-20 21:53:04,0.53125,41.67188,41.67188,0.00000
2023-10-20 21:53:05,0.53125,41.46094,41.46094,0.00000
2023-10-20 21:53:06,0.52083,42.17969,42.17969,0.00000
2023-10-20 21:53:07,0.44196,40.35156,40.35156,0.00000
2023-10-20 21:53:08,0.53125,41.17969,41.17969,0.00000
2023-10-20 21:53:09,0.51042,41.41406,41.41406,0.00000
2023-10-20 21:53:10,0.51042,42.51563,42.51563,0.00000
2023-10-20 21:53:11,0.45536,41.98438,41.98438,0.00000
