Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-21 15:08:04,0.08929,16.56641,16.56641,0.00000
2023-10-21 15:08:05,0.13021,17.21875,17.21875,0.00000
2023-10-21 15:08:06,0.52083,41.45703,41.45703,0.00000
2023-10-21 15:08:07,0.52083,43.62891,43.62891,0.00000
2023-10-21 15:08:08,0.45982,43.77344,43.77344,0.00000
2023-10-21 15:08:09,0.52344,41.93750,41.93750,0.00000
2023-10-21 15:08:10,0.52083,44.14063,44.14063,0.00000
2023-10-21 15:08:11,0.52865,43.93750,43.93750,0.00000
2023-10-21 15:08:12,0.52604,41.60938,41.60938,0.00000
2023-10-21 15:08:13,0.45089,43.09766,43.09766,0.00000
2023-10-21 15:08:14,0.53125,43.82813,43.82813,0.00000
2023-10-21 15:08:15,0.52083,44.39063,44.39063,0.00000
2023-10-21 15:08:16,0.52083,40.95703,40.95703,0.00000
2023-10-21 15:08:17,0.45982,41.03516,41.03516,0.00000
2023-10-21 15:08:18,0.52604,42.87500,42.87500,0.00000
2023-10-21 15:08:19,0.51563,43.17578,43.17578,0.00000
2023-10-21 15:08:20,0.53125,43.35547,43.35547,0.00000
2023-10-21 15:08:21,0.44866,42.58203,42.58203,0.00000
2023-10-21 15:08:22,0.52083,41.85547,41.85547,0.00000
2023-10-21 15:08:23,0.53385,44.37500,44.37500,0.00000
2023-10-21 15:08:24,0.51563,44.13281,44.13281,0.00000
2023-10-21 15:08:25,0.15179,22.99609,22.99609,0.00000
2023-10-21 15:08:26,0.20833,22.55859,22.55859,0.00000
2023-10-21 15:08:27,0.04167,6.24609,6.24609,0.00000
2023-10-21 15:08:28,0.03385,5.66406,5.66406,0.00000
2023-10-21 15:08:29,0.35677,32.42578,32.42578,0.00000
2023-10-21 15:08:30,0.44643,40.64063,40.64063,0.00000
2023-10-21 15:08:31,0.52083,41.57422,41.57422,0.00000
2023-10-21 15:08:32,0.53125,40.80469,40.80469,0.00000
2023-10-21 15:08:33,0.52083,38.19141,38.19141,0.00000
2023-10-21 15:08:34,0.44866,41.84375,41.84375,0.00000
2023-10-21 15:08:35,0.52344,41.55469,41.55469,0.00000
2023-10-21 15:08:36,0.52083,42.23438,42.23438,0.00000
2023-10-21 15:08:37,0.51563,40.66016,40.66016,0.00000
2023-10-21 15:08:38,0.45759,41.27734,41.27734,0.00000
2023-10-21 15:08:39,0.52083,42.33594,42.33594,0.00000
2023-10-21 15:08:40,0.52344,41.78125,41.78125,0.00000
2023-10-21 15:08:41,0.52865,40.64844,40.64844,0.00000
2023-10-21 15:08:42,0.44866,41.96875,41.96875,0.00000
2023-10-21 15:08:43,0.52344,42.00391,42.00391,0.00000
2023-10-21 15:08:44,0.52865,42.33594,42.33594,0.00000
2023-10-21 15:08:45,0.52083,42.42578,42.42578,0.00000
2023-10-21 15:08:46,0.44643,42.01172,42.01172,0.00000
2023-10-21 15:08:47,0.52604,42.35156,42.35156,0.00000
2023-10-21 15:08:48,0.52604,42.33203,42.33203,0.00000
2023-10-21 15:08:49,0.51563,43.08984,43.08984,0.00000
2023-10-21 15:08:50,0.45089,42.01563,42.01563,0.00000
2023-10-21 15:08:51,0.52083,43.53125,43.53125,0.00000
2023-10-21 15:08:52,0.52083,41.59766,41.59766,0.00000
2023-10-21 15:08:53,0.52604,43.50391,43.50391,0.00000
2023-10-21 15:08:54,0.44420,43.87500,43.87500,0.00000
2023-10-21 15:08:55,0.52083,43.66406,43.66406,0.00000
2023-10-21 15:08:56,0.52344,43.57813,43.57813,0.00000
2023-10-21 15:08:57,0.52344,41.89844,41.89844,0.00000
2023-10-21 15:08:58,0.51563,41.25000,41.25000,0.00000
2023-10-21 15:08:59,0.46652,43.76563,43.76563,0.00000
2023-10-21 15:09:00,0.71615,41.86328,41.86328,0.00000
2023-10-21 15:09:01,0.65104,45.00391,45.00391,0.00000
2023-10-21 15:09:02,0.65104,45.51172,45.51172,0.00000
2023-10-21 15:09:03,0.57143,45.44531,45.44531,0.00000
2023-10-21 15:09:04,0.60417,41.75000,41.75000,0.00000
2023-10-21 15:09:05,0.52604,36.57813,36.57813,0.00000
2023-10-21 15:09:06,0.54167,43.23828,43.23828,0.00000
2023-10-21 15:09:07,0.53125,44.38281,44.38281,0.00000
2023-10-21 15:09:08,0.52083,44.32813,44.32813,0.00000
2023-10-21 15:09:09,0.52604,44.51172,44.51172,0.00000
2023-10-21 15:09:10,0.52344,44.26953,44.26953,0.00000
2023-10-21 15:09:11,0.44643,43.69531,43.69531,0.00000
2023-10-21 15:09:12,0.53125,43.32422,43.32422,0.00000
2023-10-21 15:09:13,0.52865,40.11328,40.11328,0.00000
2023-10-21 15:09:14,0.51823,42.48438,42.48438,0.00000
2023-10-21 15:09:15,0.52604,41.69141,41.69141,0.00000
2023-10-21 15:09:16,0.44643,44.15234,44.15234,0.00000
2023-10-21 15:09:17,0.52604,44.28906,44.28906,0.00000
2023-10-21 15:09:18,0.52344,43.33984,43.33984,0.00000
2023-10-21 15:09:19,0.51823,42.98438,42.98438,0.00000
2023-10-21 15:09:20,0.44420,44.03906,44.03906,0.00000
2023-10-21 15:09:21,0.52865,42.64844,42.64844,0.00000
2023-10-21 15:09:22,0.52344,43.10938,43.10938,0.00000
2023-10-21 15:09:23,0.52083,46.12500,46.12500,0.00000
2023-10-21 15:09:24,0.45982,48.64453,48.64453,0.00000
2023-10-21 15:09:25,0.52865,46.63672,46.63672,0.00000
2023-10-21 15:09:26,0.51563,48.74609,48.74609,0.00000
2023-10-21 15:09:27,0.52604,48.84375,48.84375,0.00000
2023-10-21 15:09:28,0.54464,47.84375,47.84375,0.00000
2023-10-21 15:09:29,0.64844,47.83594,47.83594,0.00000
2023-10-21 15:09:30,0.53646,46.71484,46.71484,0.00000
2023-10-21 15:09:31,0.53385,46.26953,46.26953,0.00000
2023-10-21 15:09:32,0.65625,44.45313,44.45313,0.00000
2023-10-21 15:09:33,0.53906,48.33594,48.33594,0.00000
2023-10-21 15:09:34,0.53385,48.89063,48.89063,0.00000
2023-10-21 15:09:35,0.54427,46.12109,46.12109,0.00000
2023-10-21 15:09:36,0.53385,42.87109,42.87109,0.00000
