Date,CPU Utilization,CPU Power
2023-10-21 15:24:45,0.10547,15.66914
2023-10-21 15:24:46,0.03013,5.40993
2023-10-21 15:24:47,0.35026,32.23647
2023-10-21 15:24:48,0.51563,42.36466
2023-10-21 15:24:49,0.51823,43.73336
2023-10-21 15:24:50,0.44308,42.75780
2023-10-21 15:24:51,0.51432,42.26524
2023-10-21 15:24:52,0.51823,42.40799
2023-10-21 15:24:53,0.51823,42.32675
2023-10-21 15:24:54,0.51563,38.42783
2023-10-21 15:24:55,0.44308,42.45459
2023-10-21 15:24:56,0.51563,41.36544
2023-10-21 15:24:57,0.51432,42.57088
2023-10-21 15:24:58,0.51693,43.04581
2023-10-21 15:24:59,0.44196,42.86165
2023-10-21 15:25:00,0.51563,42.05991
2023-10-21 15:25:01,0.51823,43.12688
2023-10-21 15:25:02,0.51563,40.25723
2023-10-21 15:25:03,0.51563,42.84537
2023-10-21 15:25:04,0.44085,42.83266
2023-10-21 15:25:05,0.51693,43.55757
2023-10-21 15:25:06,0.44010,37.02501
2023-10-21 15:25:07,0.20182,21.45582
2023-10-21 15:25:08,0.08594,14.83365
2023-10-21 15:25:09,0.05078,7.13794
2023-10-21 15:25:10,0.16927,18.30365
2023-10-21 15:25:11,0.51432,39.79478
2023-10-21 15:25:12,0.51563,35.99488
2023-10-21 15:25:13,0.51563,37.90553
2023-10-21 15:25:14,0.51563,38.27772
2023-10-21 15:25:15,0.51563,38.65019
2023-10-21 15:25:16,0.51563,39.29216
2023-10-21 15:25:17,0.51563,41.54133
2023-10-21 15:25:18,0.51302,38.67847
2023-10-21 15:25:19,0.44196,41.98992
2023-10-21 15:25:20,0.51563,42.14262
2023-10-21 15:25:21,0.51432,40.71093
2023-10-21 15:25:22,0.51563,41.38862
2023-10-21 15:25:23,0.43862,35.20285
2023-10-21 15:25:24,0.51563,38.12592
2023-10-21 15:25:25,0.51432,41.18805
2023-10-21 15:25:26,0.51432,41.04604
2023-10-21 15:25:27,0.44085,41.09667
2023-10-21 15:25:28,0.51432,42.33907
2023-10-21 15:25:29,0.51302,39.98484
2023-10-21 15:25:30,0.51693,37.61021
2023-10-21 15:25:31,0.44196,40.96125
2023-10-21 15:25:32,0.51432,42.81544
2023-10-21 15:25:33,0.51693,37.71424
2023-10-21 15:25:34,0.51432,41.24714
2023-10-21 15:25:35,0.51563,42.43568
2023-10-21 15:25:36,0.43973,39.84587
2023-10-21 15:25:37,0.51302,40.79681
2023-10-21 15:25:38,0.51302,43.05508
2023-10-21 15:25:39,0.51172,41.13763
2023-10-21 15:25:40,0.43862,42.98052
2023-10-21 15:25:41,0.51302,42.57047
2023-10-21 15:25:42,0.51432,41.38787
2023-10-21 15:25:43,0.51302,43.30751
2023-10-21 15:25:44,0.51563,41.86900
2023-10-21 15:25:45,0.43973,42.18842
2023-10-21 15:25:46,0.51432,41.89160
2023-10-21 15:25:47,0.51302,42.72822
2023-10-21 15:25:48,0.51302,42.82081
2023-10-21 15:25:49,0.43973,43.03632
2023-10-21 15:25:50,0.51432,43.72002
2023-10-21 15:25:51,0.51302,40.08007
2023-10-21 15:25:52,0.51432,40.12111
2023-10-21 15:25:53,0.43973,43.32306
2023-10-21 15:25:54,0.51302,40.99365
2023-10-21 15:25:55,0.51563,39.53766
2023-10-21 15:25:56,0.51563,43.91406
2023-10-21 15:25:57,0.51042,42.44340
2023-10-21 15:25:58,0.44085,43.10181
2023-10-21 15:25:59,0.51302,42.83211
2023-10-21 15:26:00,0.51432,40.70153
2023-10-21 15:26:01,0.51302,42.84613
2023-10-21 15:26:02,0.43973,40.14579
2023-10-21 15:26:03,0.51302,42.69951
2023-10-21 15:26:04,0.51172,43.60611
2023-10-21 15:26:05,0.51172,48.11975
2023-10-21 15:26:06,0.43862,45.12830
2023-10-21 15:26:07,0.51042,47.94050
