__run_id,__done,run,avg_cpu,avg_memory,total_energy,total_inference_time
run_0,DONE,0,0.483,3.141,22536.724,560.064
run_1,DONE,1,0.483,3.132,22454.191,557.114
run_2,DONE,2,0.483,3.18,22389.85,554.353
run_3,DONE,3,0.482,3.167,22472.514,559.004
run_4,DONE,4,0.483,3.168,22454.468,558.33
run_5,DONE,5,0.483,3.159,22583.514,561.618
run_6,DONE,6,0.482,3.169,22376.822,555.226
run_7,DONE,7,0.483,3.184,22418.405,555.25
run_8,DONE,8,0.483,3.185,22550.019,560.454
run_9,DONE,9,0.483,3.187,22409.395,554.728
