Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-21 22:09:19,0.11161,19.78955,19.78955,0.00000
2023-10-21 22:09:20,0.04948,7.22314,7.22314,0.00000
2023-10-21 22:09:21,0.13802,20.79370,20.79370,0.00000
2023-10-21 22:09:22,0.29427,25.48804,25.48804,0.00000
2023-10-21 22:09:23,0.46429,37.27197,37.27197,0.00000
2023-10-21 22:09:24,0.52865,37.16821,37.16821,0.00000
2023-10-21 22:09:25,0.52865,37.55127,37.55127,0.00000
2023-10-21 22:09:26,0.53646,37.79565,37.79565,0.00000
2023-10-21 22:09:27,0.45089,35.77075,35.77075,0.00000
2023-10-21 22:09:28,0.52604,36.73853,36.73853,0.00000
2023-10-21 22:09:29,0.54167,35.67212,35.67212,0.00000
2023-10-21 22:09:30,0.52083,34.93994,34.93994,0.00000
2023-10-21 22:09:31,0.52865,37.65942,37.65942,0.00000
2023-10-21 22:09:32,0.45536,36.66260,36.66260,0.00000
2023-10-21 22:09:33,0.52604,37.54541,37.54541,0.00000
2023-10-21 22:09:34,0.54688,38.36816,38.36816,0.00000
2023-10-21 22:09:35,0.55469,36.42554,36.42554,0.00000
2023-10-21 22:09:36,0.52344,35.24927,35.24927,0.00000
2023-10-21 22:09:37,0.44643,38.13599,38.13599,0.00000
2023-10-21 22:09:38,0.53646,37.84863,37.84863,0.00000
2023-10-21 22:09:39,0.52604,36.71362,36.71362,0.00000
2023-10-21 22:09:40,0.52604,37.69214,37.69214,0.00000
2023-10-21 22:09:41,0.46205,38.30005,38.30005,0.00000
2023-10-21 22:09:42,0.52865,37.36182,37.36182,0.00000
2023-10-21 22:09:43,0.52344,36.11963,36.11963,0.00000
2023-10-21 22:09:44,0.53906,36.30029,36.30029,0.00000
2023-10-21 22:09:45,0.52604,37.62646,37.62646,0.00000
2023-10-21 22:09:46,0.44643,37.72217,37.72217,0.00000
2023-10-21 22:09:47,0.54167,38.66602,38.66602,0.00000
2023-10-21 22:09:48,0.52604,37.74512,37.74512,0.00000
2023-10-21 22:09:49,0.52604,37.57080,37.57080,0.00000
2023-10-21 22:09:50,0.46205,38.06250,38.06250,0.00000
2023-10-21 22:09:51,0.52865,37.99902,37.99902,0.00000
2023-10-21 22:09:52,0.52604,37.38721,37.38721,0.00000
2023-10-21 22:09:53,0.54688,38.70557,38.70557,0.00000
2023-10-21 22:09:54,0.45089,37.31592,37.31592,0.00000
2023-10-21 22:09:55,0.52604,38.01904,38.01904,0.00000
2023-10-21 22:09:56,0.53125,36.97900,36.97900,0.00000
2023-10-21 22:09:57,0.52604,36.36523,36.36523,0.00000
2023-10-21 22:09:58,0.45089,37.09229,37.09229,0.00000
2023-10-21 22:09:59,0.54167,38.02588,38.02588,0.00000
2023-10-21 22:10:00,0.52604,37.90234,37.90234,0.00000
2023-10-21 22:10:01,0.52865,37.70508,37.70508,0.00000
2023-10-21 22:10:02,0.46205,36.20410,36.20410,0.00000
2023-10-21 22:10:03,0.53385,37.80176,37.80176,0.00000
2023-10-21 22:10:04,0.52344,37.92822,37.92822,0.00000
2023-10-21 22:10:05,0.55208,36.03418,36.03418,0.00000
2023-10-21 22:10:06,0.53906,34.32568,34.32568,0.00000
2023-10-21 22:10:07,0.45313,37.22510,37.22510,0.00000
2023-10-21 22:10:08,0.52865,38.42578,38.42578,0.00000
2023-10-21 22:10:09,0.53906,38.64600,38.64600,0.00000
2023-10-21 22:10:10,0.52344,37.70020,37.70020,0.00000
2023-10-21 22:10:11,0.46429,37.88135,37.88135,0.00000
2023-10-21 22:10:12,0.53385,37.66504,37.66504,0.00000
2023-10-21 22:10:13,0.53385,37.46826,37.46826,0.00000
2023-10-21 22:10:14,0.52604,33.00195,33.00195,0.00000
2023-10-21 22:10:15,0.45536,37.64404,37.64404,0.00000
2023-10-21 22:10:16,0.52604,37.84570,37.84570,0.00000
2023-10-21 22:10:17,0.52865,33.68701,33.68701,0.00000
2023-10-21 22:10:18,0.52344,37.17383,37.17383,0.00000
2023-10-21 22:10:19,0.52604,38.03760,38.03760,0.00000
2023-10-21 22:10:20,0.46875,38.26563,38.26563,0.00000
2023-10-21 22:10:21,0.52604,37.18896,37.18896,0.00000
2023-10-21 22:10:22,0.52344,37.97949,37.97949,0.00000
2023-10-21 22:10:23,0.53385,35.68506,35.68506,0.00000
2023-10-21 22:10:24,0.45089,37.70996,37.70996,0.00000
2023-10-21 22:10:25,0.52604,37.55371,37.55371,0.00000
2023-10-21 22:10:26,0.54167,38.01465,38.01465,0.00000
2023-10-21 22:10:27,0.52604,38.99121,38.99121,0.00000
2023-10-21 22:10:28,0.44866,36.45947,36.45947,0.00000
2023-10-21 22:10:29,0.54167,36.49805,36.49805,0.00000
2023-10-21 22:10:30,0.53646,38.04492,38.04492,0.00000
2023-10-21 22:10:31,0.52604,37.95264,37.95264,0.00000
2023-10-21 22:10:32,0.46205,36.41602,36.41602,0.00000
2023-10-21 22:10:33,0.52604,36.34082,36.34082,0.00000
2023-10-21 22:10:34,0.52604,38.06201,38.06201,0.00000
2023-10-21 22:10:35,0.53646,38.95166,38.95166,0.00000
2023-10-21 22:10:36,0.57031,38.30518,38.30518,0.00000
2023-10-21 22:10:37,0.52865,38.36816,38.36816,0.00000
2023-10-21 22:10:38,0.45982,37.03418,37.03418,0.00000
2023-10-21 22:10:39,0.53125,37.88623,37.88623,0.00000
2023-10-21 22:10:40,0.52604,38.14551,38.14551,0.00000
2023-10-21 22:10:41,0.53646,38.19531,38.19531,0.00000
2023-10-21 22:10:42,0.44643,35.88232,35.88232,0.00000
2023-10-21 22:10:43,0.53125,37.99609,37.99609,0.00000
2023-10-21 22:10:44,0.53906,38.08740,38.08740,0.00000
2023-10-21 22:10:45,0.53125,36.70117,36.70117,0.00000
2023-10-21 22:10:46,0.44866,36.93799,36.93799,0.00000
2023-10-21 22:10:47,0.53125,38.22803,38.22803,0.00000
2023-10-21 22:10:48,0.53646,38.87793,38.87793,0.00000
2023-10-21 22:10:49,0.52344,35.63086,35.63086,0.00000
2023-10-21 22:10:50,0.45313,36.35205,36.35205,0.00000
2023-10-21 22:10:51,0.53646,37.58740,37.58740,0.00000
2023-10-21 22:10:52,0.52865,38.18164,38.18164,0.00000
2023-10-21 22:10:53,0.52604,37.26563,37.26563,0.00000
2023-10-21 22:10:54,0.46205,37.94336,37.94336,0.00000
2023-10-21 22:10:55,0.52604,37.05225,37.05225,0.00000
2023-10-21 22:10:56,0.52604,39.86963,39.86963,0.00000
2023-10-21 22:10:57,0.53906,37.21191,37.21191,0.00000
2023-10-21 22:10:58,0.44420,32.99951,32.99951,0.00000
2023-10-21 22:10:59,0.53125,37.38916,37.38916,0.00000
2023-10-21 22:11:00,0.53125,33.54736,33.54736,0.00000
2023-10-21 22:11:01,0.52604,37.92725,37.92725,0.00000
2023-10-21 22:11:02,0.45313,37.63330,37.63330,0.00000
2023-10-21 22:11:03,0.54167,37.91504,37.91504,0.00000
2023-10-21 22:11:04,0.52865,37.17383,37.17383,0.00000
2023-10-21 22:11:05,0.52604,38.57568,38.57568,0.00000
2023-10-21 22:11:06,0.53906,33.35498,33.35498,0.00000
2023-10-21 22:11:07,0.55208,38.37354,38.37354,0.00000
2023-10-21 22:11:08,0.46652,38.28418,38.28418,0.00000
2023-10-21 22:11:09,0.52344,38.11182,38.11182,0.00000
2023-10-21 22:11:10,0.52083,35.23730,35.23730,0.00000
2023-10-21 22:11:11,0.54167,38.42725,38.42725,0.00000
2023-10-21 22:11:12,0.44643,34.41016,34.41016,0.00000
2023-10-21 22:11:13,0.52604,37.25391,37.25391,0.00000
2023-10-21 22:11:14,0.53125,35.03760,35.03760,0.00000
2023-10-21 22:11:15,0.51823,32.94873,32.94873,0.00000
2023-10-21 22:11:16,0.52083,32.65674,32.65674,0.00000
2023-10-21 22:11:17,0.53906,38.60254,38.60254,0.00000
2023-10-21 22:11:18,0.52865,38.14404,38.14404,0.00000
2023-10-21 22:11:19,0.52083,34.95801,34.95801,0.00000
2023-10-21 22:11:20,0.53646,37.17676,37.17676,0.00000
2023-10-21 22:11:21,0.45089,36.31982,36.31982,0.00000
2023-10-21 22:11:22,0.52604,38.64355,38.64355,0.00000
2023-10-21 22:11:23,0.52083,38.87891,38.87891,0.00000
2023-10-21 22:11:24,0.54167,37.62500,37.62500,0.00000
2023-10-21 22:11:25,0.45089,37.76563,37.76563,0.00000
2023-10-21 22:11:26,0.53125,37.64941,37.64941,0.00000
2023-10-21 22:11:27,0.53646,37.35791,37.35791,0.00000
2023-10-21 22:11:28,0.52344,36.85938,36.85938,0.00000
2023-10-21 22:11:29,0.45313,38.05469,38.05469,0.00000
2023-10-21 22:11:30,0.53646,38.01709,38.01709,0.00000
2023-10-21 22:11:31,0.53125,37.07715,37.07715,0.00000
2023-10-21 22:11:32,0.53125,37.14160,37.14160,0.00000
2023-10-21 22:11:33,0.53125,37.58008,37.58008,0.00000
2023-10-21 22:11:34,0.45313,37.93359,37.93359,0.00000
2023-10-21 22:11:35,0.52604,38.06348,38.06348,0.00000
2023-10-21 22:11:36,0.53385,36.29688,36.29688,0.00000
2023-10-21 22:11:37,0.54167,33.23926,33.23926,0.00000
2023-10-21 22:11:38,0.53125,38.62109,38.62109,0.00000
2023-10-21 22:11:39,0.45982,37.94238,37.94238,0.00000
2023-10-21 22:11:40,0.53125,37.76855,37.76855,0.00000
2023-10-21 22:11:41,0.52604,37.50586,37.50586,0.00000
2023-10-21 22:11:42,0.53646,38.82617,38.82617,0.00000
2023-10-21 22:11:43,0.52604,36.57910,36.57910,0.00000
2023-10-21 22:11:44,0.44866,35.01953,35.01953,0.00000
2023-10-21 22:11:45,0.53646,37.95313,37.95313,0.00000
2023-10-21 22:11:46,0.52604,38.26465,38.26465,0.00000
2023-10-21 22:11:47,0.52604,37.75781,37.75781,0.00000
2023-10-21 22:11:48,0.46429,37.57813,37.57813,0.00000
2023-10-21 22:11:49,0.51563,34.14063,34.14063,0.00000
2023-10-21 22:11:50,0.53125,38.26758,38.26758,0.00000
2023-10-21 22:11:51,0.52604,35.04785,35.04785,0.00000
2023-10-21 22:11:52,0.45536,37.76660,37.76660,0.00000
2023-10-21 22:11:53,0.53906,36.79102,36.79102,0.00000
2023-10-21 22:11:54,0.54427,38.11328,38.11328,0.00000
2023-10-21 22:11:55,0.53646,37.32324,37.32324,0.00000
