__run_id,__done,run,avg_cpu,avg_memory,total_energy,total_inference_time
run_0,DONE,0,0.495,3.971,31344.692,797.967
run_1,DONE,1,0.495,3.923,31305.203,795.037
run_2,DONE,2,0.501,3.985,31097.238,816.863
run_3,DONE,3,0.497,3.977,31178.164,797.446
run_4,DONE,4,0.496,3.939,31210.716,793.134
run_5,DONE,5,0.496,3.982,31058.876,799.839
run_6,DONE,6,0.496,3.971,31345.382,800.024
run_7,DONE,7,0.495,3.969,-226293.405,794.498
run_8,DONE,8,0.495,3.95,31345.351,798.684
run_9,DONE,9,0.495,3.838,31274.22,796.365
